report_id,country,region,date_reported,species,disease,confirmed_cases,deaths,outbreak_status,notes,source,latitude,longitude
f85bff01-251f-44fd-a028-db5443e0d1ac,India,N/A,2019-09-01,Poultry,High pathogenicity avian influenza viruses (poultry) (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
21aceea1-08b1-4925-855d-78f820daa01b,United States of America,N/A,2019-08-29,Unknown,Infectious hypodermal and haematopoietic necrosis virus (Inf. with),0,0,Resolved,First occurrence in a zone or a compartment,https://wahis.woah.org,,
8401be3e-8937-4260-86be-cbfff121e679,Azerbaijan,N/A,2019-08-28,Unknown,Anthrax,0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
707aca3e-0f74-42be-afea-5a7e29f4818f,Zimbabwe,N/A,2019-08-22,Swine,African swine fever virus (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
5f525340-7a15-4ce4-8c35-a7940897e0e3,Mali,N/A,2019-08-21,Poultry,Equine influenza virus (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
45630118-c9ad-4d2b-809d-7831b114b20a,Mexico,N/A,2019-08-20,Poultry,Newcastle disease virus (Inf. with),0,0,Resolved,First occurrence in a zone or a compartment,https://wahis.woah.org,,
91134d1e-30e3-4799-9363-3d00b02e1f5a,Mexico,N/A,2019-08-20,Horse,Equine encephalomyelitis (Western)(2006-),0,0,Resolved,First occurrence in the country,https://wahis.woah.org,,
0e1c30a1-64a0-4317-bf39-c7fbed8f56b1,Romania,N/A,2024-10-23,Swine,African swine fever virus (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
b8485d80-2844-431a-a60f-86c91d5c776d,Portugal,N/A,2024-10-22,Poultry,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
3e646f92-6bfc-4332-bf2a-af69dc2a156d,Melilla,N/A,2024-10-22,Canine,Rabies virus (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
fc5ef415-b6ec-41a8-bf7f-5ff3e4dd3681,Israel,N/A,2024-10-22,Unknown,West Nile Fever,0,0,Resolved,Unexpected change or increase,https://wahis.woah.org,,
a285b4ef-ca43-4488-98c8-5add8b69cf9b,Serbia,N/A,2024-10-21,Poultry,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
01c22959-c9d5-426a-85e0-57496dc23bce,United Kingdom,N/A,2024-10-18,Unknown,Infectious salmon anaemia virus (Inf. with) (HPR-deleted or HPR0 genotypes),0,0,Resolved,Recurrence,https://wahis.woah.org,,
04ca046e-f979-456a-8ca0-eef690c6d109,Armenia,N/A,2024-10-18,Canine,Rabies virus (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
c404e776-0132-45bf-ac27-3becbac91483,United Kingdom,N/A,2024-10-18,Poultry,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),0,0,Resolved,Recurrence of an eradicated strain,https://wahis.woah.org,,
2d0b0064-fbb9-42c5-84a8-e33c7bdfe11b,United Kingdom,N/A,2024-10-18,Horse,Taylorella equigenitalis (Contagious equine metritis) (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
29bd9af9-637b-43e6-aac7-3efd0345b9dd,South Africa,N/A,2024-10-18,Cattle,Foot and mouth disease virus (Inf. with),0,0,Resolved,New strain in a zone or a compartment,https://wahis.woah.org,,
e737ffef-08a3-4688-85b2-39fc3e2d91a3,South Africa,N/A,2024-10-18,Cattle,Foot and mouth disease virus (Inf. with),0,0,Resolved,New strain in a zone or a compartment,https://wahis.woah.org,,
9a73e24f-3d89-4aad-88a8-c908e602c2c9,Ukraine,N/A,2024-10-17,Swine,African swine fever virus (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
4c6f58fc-afff-48e4-bbd6-bf659b4d1acd,Ukraine,N/A,2024-10-17,Swine,African swine fever virus (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
ae58a07a-54b1-4ca6-977d-2ac4eb355e5e,Ukraine,N/A,2024-10-17,Swine,African swine fever virus (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
d560f326-a7b2-4d49-ad0c-65700944a978,Ukraine,N/A,2024-10-17,Swine,African swine fever virus (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
f96bb07d-d206-462a-8424-9a58d662e90d,Estonia,N/A,2024-10-15,Unknown,Porcine reproductive and respiratory syndrome virus (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
79c556fc-b502-4f89-a261-c7abbd538a04,Slovenia,N/A,2024-10-15,Poultry,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
1b682239-820e-49e9-a0a1-e914abcb3e00,Norway,N/A,2024-10-14,Unknown,Paenibacillus larvae (Inf. of honey bees with) (American foulbrood),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
af8e8af3-38f7-476b-bcef-34f7bb3d2e61,Romania,N/A,2024-10-14,Swine,African swine fever virus (Inf. with),0,0,Resolved,First occurrence in a zone or a compartment,https://wahis.woah.org,,
42f62073-0a0a-4340-b06c-e4791300326d,Netherlands,N/A,2024-10-11,Unknown,Bluetongue virus (Inf. with),0,0,Resolved,New strain in the country,https://wahis.woah.org,,
d0add27d-9c58-4061-b6eb-26e5bff42976,Vietnam,N/A,2024-10-11,Poultry,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),0,0,Resolved,Unusual host species,https://wahis.woah.org,,
277bc44d-573f-4734-8133-f356dddf8d09,Chile,N/A,2024-10-10,Horse,Equine infectious anaemia,0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
d01c8ed3-a00a-4c78-a10c-b6da8f93c00c,Azerbaijan,N/A,2024-10-09,Unknown,Anthrax,0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
7c3f31e5-1ab6-418a-ad18-8499c195d2e3,Netherlands,N/A,2024-10-08,Unknown,Bluetongue virus (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
fc35ac65-e5db-443d-95f5-da5c8124cbd1,Croatia,N/A,2024-10-08,Poultry,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),0,0,Resolved,First occurrence in a zone or a compartment,https://wahis.woah.org,,
eb02591c-5f78-46c2-97b8-44ae6e7c523d,Ukraine,N/A,2024-10-03,Swine,African swine fever virus (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
